Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,AN,AQL,CX,DC,DQ,DX,EC,FX,Has mapping qualifier,HM,HN,II,Inverse of AQ,Inverse of isa,Inverse of QB,Inverse of RB,Inverse of RO,isa,LT,Machine permutation,Mapped from,Mapped to,Mapping qualifier of,MDA,MeSH Frequency,MMR,MN,OL,PA,PI,RR,SC,Scope Statement,Semantic type UMLS property,SRC,TERMUI,TH
http://purl.bioontology.org/ontology/MESH/C000659400,Acaulospora ignota,,,false,C4202352,http://purl.bioontology.org/ontology/STY/T004,,,,,,,,,,,D005658,,,,,,txid1635128,,,,,,http://purl.bioontology.org/ontology/MESH/D005658,,20200930,0,20200929,,,,,,4,,http://purl.bioontology.org/ontology/STY/T004,,T001012925,NLM (2021)
http://purl.bioontology.org/ontology/MESH/C000624633,technetium 99m hydroxyethylene-diphosphonate,99mTc-HDP|99mTc-hydroxyethylene-diphosphonate,,false,C0305030,http://purl.bioontology.org/ontology/STY/T130|http://purl.bioontology.org/ontology/STY/T197,,,,,,,,,,,D015609|D004164,,,,,,0,,,,,,http://purl.bioontology.org/ontology/MESH/D015609|http://purl.bioontology.org/ontology/MESH/D004164,,20171116,11,20171116,,,,,,1,a PET imaging agent,http://purl.bioontology.org/ontology/STY/T130|http://purl.bioontology.org/ontology/STY/T197,J Nucl Med. 2017 Nov;58(11):1778-1785.,T000936066|T000936067|T000936065,NLM (2017)
http://purl.bioontology.org/ontology/MESH/C585345,"Tardbp protein, zebrafish","Tardbpl-FL protein, zebrafish|Tardbpl protein, zebrafish|TDP-43 protein, zebrafish",,false,C3714068|C3714069|C3711174,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T116,,,,,,,,,,,D004268|D029961,,,,,,0,,,,,,http://purl.bioontology.org/ontology/MESH/D004268|http://purl.bioontology.org/ontology/MESH/D029961,,20131229,9,,,,,,,1,,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T116,Hum Mol Genet. 2013 Jun 15;22(12):2376-86.,T852721|T852720|T852719|T852722,NLM (2014)
http://purl.bioontology.org/ontology/MESH/C000623720,Autographa californica multiple nuclear polyhedrosis virus,Trichoplusia ni multiple nucleopolyhedrovirus|Galleria mellonealla multiple nucleopolyhedrovirus|Autographa californica multiple nucleopolyhedrovirus|Rachiplusia ou multiple nucleopolyhedrovirus,,false,C1629281,http://purl.bioontology.org/ontology/STY/T005,,,,,,,,,,,D017924,,,,,,0,,,,,,http://purl.bioontology.org/ontology/MESH/D017924,,20171018,73,20171018,,,,,,4,,http://purl.bioontology.org/ontology/STY/T005,,T000934113|T000934110|T000934111|T000934112|T000934109,NLM (2017)
http://purl.bioontology.org/ontology/MESH/C000644313,Leeuwenhoekiella blandensis,,,false,C1623861,http://purl.bioontology.org/ontology/STY/T007,,,,,,,,,,,D041965,,,,,,txid360293,,,,,,http://purl.bioontology.org/ontology/MESH/D041965,,20191122,1,20191030,,,,,,4,,http://purl.bioontology.org/ontology/STY/T007,,T000981261,NLM (2020)
http://purl.bioontology.org/ontology/MESH/C049340,N-demethylmenogaril,,,false,C0067922,http://purl.bioontology.org/ontology/STY/T109,,,,,,,,,,http://purl.bioontology.org/ontology/MESH/Q000031,D017290/Q000031,,,,,,81445-91-2,,,,,,http://purl.bioontology.org/ontology/MESH/D017290,,19860716,3,19980421,,,,NOGALAMYCIN/*analogs (86-92),,1,"major metabolite of menogaril; RN given refers to (2R-(2alpha,3beta,4alpha,5beta,6alpha,11alpha,13alpha))-isomer",http://purl.bioontology.org/ontology/STY/T109,Eur J Cancer Clin Oncol 1986;22(3):245,T171421,NLM (1986)
http://purl.bioontology.org/ontology/MESH/C000684122,Polypaecilum pisci,Aspergillus pisci,,false,C3424521,http://purl.bioontology.org/ontology/STY/T004,,,,,,,,,,,D032641,,,,,,txid1131476,,,,,,http://purl.bioontology.org/ontology/MESH/D032641,,20201001,0,20200929,,,,,,4,,http://purl.bioontology.org/ontology/STY/T004,,T001047110|T001047111,NLM (2021)|NLM (2020)
http://purl.bioontology.org/ontology/MESH/C044719,melarsen oxide,"p-(4,6-diamino-1,3,5-triazin-2-yl)aminophenylarsonous acid|melarsenoxide",,false,C0065909,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,,,,,,,,,,,D001152,,,,,,2XH88IXE7W,,,,,,http://purl.bioontology.org/ontology/MESH/D001152,,19850416,34,20121105,,,,,21840-08-4 (melarsen oxide),1,inhibits glutathione reductase,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,Exp Parasitol 1985;59(2):151,T160455|T160454|T431890,FDA SRS (2013)|NLM (1985)|NLM (2000)
http://purl.bioontology.org/ontology/MESH/C558613,seragakinone A,,,false,C3181636,http://purl.bioontology.org/ontology/STY/T109,,,,,,,,,,,D006576,,,,,,0,,,,,,http://purl.bioontology.org/ontology/MESH/D006576,,20110608,1,,,,,,,1,marine-derived natural product; structure in first source,http://purl.bioontology.org/ontology/STY/T109,Angew Chem Int Ed Engl. 2011 Mar 1;50(10):2297-301,T791824,NLM (2011)
http://purl.bioontology.org/ontology/MESH/C000607169,"5-(3,4-dihydroxyphenyl)-1-piperidin-1-yl-penta-2,4-dien-1-one",GBOT compound,,false,C4277108,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T109,,,,,,,,,,,D010880|D053284,,,,,,0,,,,,,http://purl.bioontology.org/ontology/MESH/D053284|http://purl.bioontology.org/ontology/MESH/D010880,,20160501,1,20160501,,,,,,1,has hypolipidemic activity; structure in first source,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T109,Genet Mol Res. 2015;14(5):7804-10.,T000900139|T000900140,NLM (2016)
